"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,182,2023010009592,2106.0,2023000001821,280201,4,1,2106.0,0,2,21,6,1,100,0,0,7,71,1,10,14000,1,11
2023,202301,344,2023010017094,6966.0,2023000003441,40301,4,1,6966.0,0,2,21,6,1,100,0,0,7,71,1,10,5500,1,11
2023,202301,1154,2023010055666,8424.0,2023000011541,140401,4,1,8424.0,0,2,22,6,2,200,0,0,7,71,1,10,22000,1,11
2023,202301,1316,2023010062838,7614.0,2023000013161,120201,4,1,7614.0,0,2,20,6,1,100,0,0,7,71,1,10,1000,1,11
2023,202301,3746,2023000003726,3402.0,2023000037461,230001,1,1,3402.0,0,1,63,6,2,200,0,0,10,101,1,10,11000,1,11
2023,202301,3908,2023000014849,18144.0,2023000039081,40201,1,1,18144.0,0,1,31,1,1,100,0,0,10,101,1,10,96000,1,11
2023,202301,3908,2023000014849,18144.0,2023000039081,40201,1,2,14580.0,0,2,33,1,1,100,0,0,11,114,1,10,68000,1,11
2023,202301,4070,2023000026078,23328.0,2023000040701,240001,1,1,23328.0,0,1,29,6,1,100,0,0,8,81,1,10,30000,1,11
2023,202301,4070,2023000026078,23328.0,2023000040701,240001,1,2,19926.0,0,2,22,6,1,100,0,0,8,81,1,10,110,1,11
2023,202301,4394,2023000048322,5346.0,2023000043941,110001,1,3,5022.0,1,1,30,6,2,200,0,0,6,65,1,10,0,1,11
2023,202301,4556,2023000059552,26082.0,2023000045561,210101,1,1,25920.0,0,2,19,6,1,100,0,0,6,63,1,10,22000,1,11
2023,202301,5042,2023000090484,6156.0,2023000050421,50101,1,1,6156.0,2,2,33,4,1,100,0,0,8,81,1,10,34000,1,11
2023,202301,5366,2023000114124,4050.0,2023000053661,230001,1,1,4212.0,2,2,44,1,1,100,0,0,11,114,1,10,75000,1,11
2023,202301,5366,2023000114124,4050.0,2023000053661,230001,1,2,5184.0,2,1,46,1,1,100,0,0,11,114,1,10,92000,1,11
2023,202301,5690,2023000133867,11988.0,2023000056901,130101,1,1,11826.0,2,2,39,6,2,200,0,0,7,71,1,10,32000,1,11
2023,202301,5690,2023000133867,11988.0,2023000056901,130101,1,2,12798.0,2,1,39,6,2,200,0,0,7,71,1,10,35000,1,11
2023,202301,5852,2023000143527,29322.0,2023000058521,30001,1,1,29160.0,1,1,23,1,1,100,0,0,6,63,1,10,49000,1,11
2023,202301,6014,2023000154545,15714.0,2023000060141,150201,1,1,15876.0,3,2,34,4,1,100,0,0,8,81,1,10,35000,1,11
2023,202301,6014,2023000154545,15714.0,2023000060141,150201,1,2,17010.0,3,1,39,4,2,200,0,0,6,63,1,10,80000,1,11
2023,202301,6176,2023000164627,28026.0,2023000061761,180201,1,1,28026.0,0,2,43,4,2,200,0,0,0,2,1,10,82000,1,11
2023,202301,6338,2023000176767,4536.0,2023000063381,60001,1,1,4374.0,1,2,42,1,1,100,0,0,7,71,1,10,0,1,11
2023,202301,6338,2023000176767,4536.0,2023000063381,60001,1,2,4374.0,1,1,43,1,1,100,0,0,6,65,1,10,35000,1,11
2023,202301,6338,2023000176767,4536.0,2023000063381,60001,1,3,5994.0,0,2,24,6,1,100,0,0,6,65,1,10,15000,1,11
2023,202301,6500,2023000187506,9720.0,2023000065001,210101,1,1,9720.0,0,2,28,6,2,200,0,0,11,114,1,10,7000,1,11
2023,202301,6500,2023000187506,9720.0,2023000065001,210101,1,2,14418.0,0,1,28,6,2,200,0,0,7,71,1,10,34900,1,11
2023,202301,6824,2023000210473,15714.0,2023000068241,120101,1,1,15876.0,0,2,60,1,2,200,0,0,11,114,1,10,50000,1,11
2023,202301,6824,2023000210473,15714.0,2023000068241,120101,1,2,13608.0,0,1,63,1,2,200,0,0,6,65,1,10,90000,1,11
2023,202301,6986,2023000220149,40014.0,2023000069861,10001,1,1,40014.0,0,1,28,6,1,100,0,0,10,101,1,10,63000,2,20
2023,202301,7310,2023000245092,2106.0,2023000073101,240001,1,1,2106.0,2,1,40,1,1,100,0,0,7,71,1,10,94000,1,11
2023,202301,7310,2023000245092,2106.0,2023000073101,240001,1,2,3240.0,2,2,37,1,8,813,0,0,8,81,1,10,39600,1,11
2023,202301,7472,2023000255042,12312.0,2023000074721,50101,1,1,12312.0,0,1,38,1,1,100,0,0,11,116,1,10,145000,1,11
2023,202301,7472,2023000255042,12312.0,2023000074721,50101,1,2,11826.0,0,2,31,1,1,100,0,0,10,101,1,10,50000,1,11
2023,202301,7634,2023000266173,9882.0,2023000076341,230001,1,1,9882.0,1,2,25,6,1,100,0,0,6,61,1,10,32200,1,11
2023,202301,8444,2023000321095,11502.0,2023000084441,140301,1,1,11502.0,1,2,53,4,2,200,0,0,8,81,1,10,18500,1,11
2023,202301,8444,2023000321095,11502.0,2023000084441,140301,1,2,12636.0,0,2,25,6,2,200,0,0,7,71,1,10,12000,1,11
2023,202301,8606,2023000332115,19764.0,2023000086061,150201,1,1,19764.0,0,1,30,4,1,100,0,0,8,81,1,10,45000,1,11
2023,202301,8768,2023000341631,1782.0,2023000087681,260001,1,1,1782.0,0,2,42,6,2,200,0,0,5,50,1,10,27000,1,11
